Pantry Name,Address,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Recurring Hours,Age requirement,What to Bring,Wheelchair accessible?,How to Get Food,How Often You Can Visit?,Who Can Get Food,Languages,Link
The Walorski Family Foundation,"5936 Barcus Way, South Bend, IN 46614",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=5936 Barcus Way, South Bend, IN 46614"
Tolson Center,"1320 Benham Ave, Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1320 Benham Ave, Elkhart, IN 46516"
Transformation Ministries,"1519 Portage Avenue, South Bend, IN 46616",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1519 Portage Avenue, South Bend, IN 46616"
Unity Gardens,"3701 Prast Blvd, South Bend, IN 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=3701 Prast Blvd, South Bend, IN 46628"
Upper Room Recovery Cafe,"333 N Main St, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=333 N Main St, South Bend, IN 46601"
Village Food Pantry,"55501 Moss Rd, South Bend, 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=55501 Moss Rd, South Bend, 46628"
West Side Church of Christ,"22987 Edison Rd, South Bend, IN 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=22987 Edison Rd, South Bend, IN 46628"
World Harvest Church,"1610 S. Nappanee St, Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1610 S. Nappanee St, Elkhart, IN 46516"
Youth Services Bureau of St Joe County,"2222 Lincoln Way W, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=2222 Lincoln Way W, South Bend, IN 46601"
YWCA,"1202 Fellows Street, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1202 Fellows Street, South Bend, IN 46601"
The Window - Katie's Kitchen,"223 S Main St, Goshen, IN 46526",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=223 S Main St, Goshen, IN 46526"
South Gate Food Pantry,"3717 S Michigan St, South Bend, IN 46614",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=3717 S Michigan St, South Bend, IN 46614"
