NAME,Total,Male (total):,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female (total):,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
113.10,2774.0,1423.0,35.0,0.0,51.0,118.0,49.0,0.0,78.0,288.0,139.0,116.0,49.0,74.0,135.0,54.0,81.0,27.0,28.0,50.0,11.0,29.0,11.0,0.0,0.0,1351.0,45.0,58.0,76.0,0.0,7.0,27.0,69.0,94.0,298.0,51.0,45.0,168.0,118.0,63.0,33.0,17.0,0.0,7.0,14.0,42.0,69.0,15.0,35.0
114.03,5629.0,2906.0,163.0,239.0,288.0,140.0,62.0,0.0,162.0,42.0,154.0,133.0,195.0,235.0,127.0,229.0,62.0,29.0,112.0,142.0,67.0,129.0,94.0,55.0,47.0,2723.0,10.0,201.0,369.0,126.0,14.0,170.0,124.0,43.0,66.0,194.0,230.0,203.0,277.0,91.0,100.0,79.0,75.0,59.0,50.0,89.0,103.0,35.0,15.0
114.04,6639.0,3255.0,297.0,370.0,364.0,149.0,51.0,39.0,61.0,29.0,141.0,40.0,325.0,274.0,207.0,264.0,271.0,37.0,122.0,15.0,42.0,18.0,110.0,0.0,29.0,3384.0,151.0,263.0,427.0,237.0,41.0,0.0,26.0,113.0,58.0,144.0,272.0,313.0,249.0,251.0,268.0,37.0,59.0,29.0,145.0,131.0,142.0,0.0,28.0
114.05,3860.0,1656.0,124.0,118.0,135.0,132.0,35.0,0.0,67.0,31.0,68.0,137.0,130.0,130.0,81.0,76.0,50.0,61.0,57.0,52.0,42.0,86.0,11.0,33.0,0.0,2204.0,241.0,170.0,180.0,114.0,42.0,0.0,0.0,30.0,82.0,112.0,136.0,108.0,187.0,73.0,84.0,39.0,144.0,19.0,118.0,83.0,50.0,0.0,192.0
114.06,5657.0,2749.0,422.0,217.0,139.0,113.0,33.0,0.0,21.0,27.0,107.0,128.0,321.0,207.0,131.0,105.0,185.0,100.0,161.0,94.0,55.0,79.0,40.0,27.0,37.0,2908.0,310.0,170.0,278.0,121.0,34.0,9.0,17.0,80.0,45.0,316.0,153.0,144.0,141.0,159.0,249.0,81.0,168.0,73.0,46.0,122.0,85.0,50.0,57.0
115.01,4052.0,2007.0,88.0,87.0,63.0,18.0,101.0,20.0,0.0,82.0,183.0,60.0,276.0,35.0,254.0,179.0,38.0,39.0,69.0,0.0,17.0,144.0,148.0,17.0,89.0,2045.0,14.0,85.0,75.0,0.0,18.0,0.0,38.0,129.0,166.0,199.0,69.0,118.0,126.0,154.0,95.0,57.0,81.0,90.0,67.0,138.0,113.0,82.0,131.0
115.03,2522.0,1320.0,21.0,240.0,175.0,16.0,35.0,19.0,9.0,64.0,13.0,60.0,72.0,165.0,29.0,64.0,80.0,21.0,31.0,36.0,29.0,29.0,49.0,43.0,20.0,1202.0,22.0,169.0,72.0,21.0,8.0,0.0,9.0,15.0,55.0,29.0,177.0,53.0,57.0,64.0,100.0,40.0,50.0,38.0,44.0,85.0,68.0,26.0,0.0
115.04,1802.0,967.0,38.0,69.0,44.0,63.0,63.0,0.0,0.0,23.0,79.0,52.0,48.0,50.0,41.0,76.0,52.0,20.0,60.0,22.0,17.0,101.0,17.0,17.0,15.0,835.0,20.0,69.0,38.0,41.0,34.0,45.0,0.0,26.0,56.0,32.0,35.0,58.0,75.0,82.0,48.0,27.0,42.0,10.0,33.0,41.0,9.0,0.0,14.0
115.05,3705.0,1845.0,51.0,127.0,60.0,78.0,51.0,76.0,17.0,128.0,289.0,142.0,138.0,107.0,39.0,102.0,84.0,29.0,89.0,13.0,32.0,48.0,109.0,16.0,20.0,1860.0,72.0,114.0,106.0,29.0,53.0,92.0,86.0,103.0,179.0,187.0,96.0,70.0,69.0,87.0,99.0,77.0,7.0,17.0,67.0,102.0,50.0,60.0,38.0
115.06,4666.0,1904.0,274.0,127.0,88.0,42.0,78.0,12.0,0.0,45.0,308.0,163.0,111.0,143.0,0.0,55.0,51.0,10.0,17.0,49.0,24.0,125.0,57.0,105.0,20.0,2762.0,155.0,122.0,92.0,135.0,130.0,27.0,0.0,134.0,247.0,158.0,220.0,154.0,161.0,57.0,81.0,107.0,17.0,184.0,186.0,83.0,88.0,110.0,114.0
116.02,7347.0,3631.0,149.0,279.0,239.0,276.0,231.0,7.0,21.0,15.0,255.0,207.0,253.0,211.0,306.0,230.0,275.0,54.0,55.0,77.0,43.0,221.0,108.0,72.0,47.0,3716.0,172.0,305.0,317.0,119.0,50.0,0.0,27.0,167.0,302.0,237.0,214.0,204.0,431.0,99.0,248.0,5.0,117.0,50.0,39.0,261.0,182.0,62.0,108.0
116.03,4957.0,2577.0,219.0,159.0,128.0,227.0,38.0,7.0,71.0,20.0,36.0,141.0,139.0,186.0,307.0,117.0,200.0,57.0,31.0,37.0,39.0,115.0,167.0,104.0,32.0,2380.0,45.0,195.0,201.0,199.0,92.0,0.0,0.0,23.0,102.0,75.0,238.0,180.0,115.0,211.0,168.0,39.0,86.0,6.0,64.0,117.0,104.0,85.0,35.0
116.04,3637.0,1863.0,90.0,95.0,123.0,178.0,12.0,22.0,65.0,48.0,36.0,124.0,68.0,110.0,171.0,75.0,248.0,21.0,59.0,24.0,176.0,42.0,29.0,40.0,7.0,1774.0,118.0,20.0,71.0,99.0,27.0,0.0,0.0,74.0,49.0,87.0,70.0,107.0,282.0,132.0,127.0,67.0,42.0,193.0,16.0,32.0,74.0,27.0,60.0
117.01,4433.0,2346.0,194.0,207.0,140.0,96.0,33.0,20.0,9.0,64.0,175.0,151.0,367.0,124.0,110.0,130.0,129.0,54.0,56.0,38.0,83.0,64.0,38.0,23.0,41.0,2087.0,170.0,122.0,197.0,99.0,0.0,0.0,104.0,13.0,144.0,153.0,152.0,55.0,136.0,104.0,257.0,54.0,90.0,43.0,35.0,60.0,56.0,18.0,25.0
117.03,3721.0,1534.0,63.0,273.0,122.0,16.0,46.0,25.0,0.0,76.0,84.0,149.0,53.0,100.0,81.0,36.0,66.0,64.0,44.0,13.0,0.0,43.0,62.0,62.0,56.0,2187.0,106.0,97.0,39.0,66.0,17.0,0.0,41.0,126.0,74.0,394.0,256.0,125.0,62.0,82.0,88.0,13.0,29.0,10.0,88.0,120.0,78.0,109.0,167.0
117.04,4538.0,2262.0,132.0,58.0,248.0,162.0,60.0,15.0,0.0,136.0,238.0,162.0,119.0,178.0,129.0,43.0,107.0,0.0,146.0,62.0,41.0,129.0,64.0,9.0,24.0,2276.0,46.0,68.0,175.0,13.0,15.0,16.0,81.0,276.0,300.0,97.0,152.0,167.0,78.0,47.0,115.0,10.0,234.0,173.0,13.0,56.0,66.0,25.0,53.0
118.01,1373.0,634.0,28.0,49.0,13.0,21.0,14.0,0.0,6.0,9.0,48.0,25.0,41.0,24.0,77.0,72.0,34.0,9.0,31.0,12.0,61.0,21.0,14.0,20.0,5.0,739.0,45.0,41.0,12.0,21.0,140.0,0.0,0.0,22.0,4.0,50.0,25.0,37.0,39.0,67.0,27.0,21.0,31.0,17.0,22.0,68.0,14.0,27.0,9.0
